coursename,courseid,accouncementcount,groupdiscussioncount,individualdiscussioncount,sectioncount,assignmentcount,gradedassignmentcount,nongradedassignmentcount,modulecount,wikipagecount,assignmentattachmentcount,courseattachmentcount,groupcount,quizcount,quizquestioncount,externaltoolcount,moduleurlcount,tacount,studentcount
DEV-2019Spring-EXW341,72360000000008223,3,0,6,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0
POS 394: Prof. Career Development (2019 Spring),72360000000008115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLefebvre,72360000000004831,0,0,0,2,0,0,0,0,54,0,53,0,0,0,0,0,0,0
DEV-Sandbox-spete,72360000000001212,2,0,0,1,26,26,0,1,19,0,70,0,0,0,0,0,0,0
History of Aviation,72360000000002204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dev-canvas-4-plewis3,72360000000005325,1,0,0,1,1,1,0,2,3,0,0,0,0,0,0,0,0,0
Introduction to learning Management System (DEV),72360000000002473,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0
ENG 551 (Dev),72360000000003709,1,0,8,1,15,15,0,16,52,0,0,0,0,0,0,0,1,0
SOS 527/BIO 527: Environmental Ethics & Policy Goals (2019 Spring),72360000000007285,0,0,2,2,0,0,0,15,70,0,70,0,0,0,3,5,0,0
MGT 300: 73536 Org Fall 2018,72360000000001870,0,0,0,1,6,6,0,1,10,0,25,0,0,0,2,0,0,197
"WAC 101: Intro to Academic Writing, MWF 11:50 (2018 Fall)",72360000000004450,2,0,8,1,20,20,0,5,25,19,81,0,0,0,0,4,0,17
HCR 264: Regulatory Essentials I (2018 Fall - A),72360000000001976,16,0,9,1,15,15,0,9,26,0,63,0,2,17,0,42,0,9
SOS 110: Sustainable World (2018 Fall) (78198),72360000000005078,29,0,0,1,6,6,0,0,0,3,12,0,0,0,0,0,0,21
ENG 108: First-Year Composition (2018 Fall),72360000000003525,3,0,0,1,0,0,0,7,19,0,0,0,0,0,0,0,0,37
HDA 513: Creativity and Design Thinking (2018 Fall),72360000000001745,0,0,0,1,6,6,0,0,2,0,21,0,0,0,0,0,0,6
Dev-canvas-4-jlucht,72360000000005888,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SST 604: Sexuality Studies (2019 Spring),72360000000005811,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panhuise-TMC-430,72360000000004772,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dev-canvas-4-cmbrow48,72360000000006434,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE 231: IntroTransport Phenom I:Fluids (2018 Summer - B),72360000000001468,19,0,3,1,42,42,0,0,0,6,44,0,0,0,0,0,2,54
GBL 60: Intermed 1 Listening/Speaking (2018 Fall - B),72360000000006801,12,0,0,1,35,35,0,0,0,0,4,0,0,0,0,0,0,17
Ldoemlan Canvas Sandbox,72360000000007102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIS 311: Business Project Management (2018 Fall - A),72360000000003204,20,1,7,1,21,21,0,9,27,62,53,6,0,0,7,1,0,28
"ASB 333: Frauds, Myths and Mysteries (2019 Spring - B)",72360000000007430,5,0,10,1,13,13,0,21,69,0,1342,0,0,0,4,0,0,0
ACC 420: Mgmt Acc for Corp Accts II (2018 Fall - B),72360000000005393,6,0,15,1,18,18,0,13,48,0,427,0,7,21,7,32,0,11
AIS 194: Beginning Navajo I (2018 Fall),72360000000002647,5,0,14,1,16,16,0,22,31,3,48,0,0,0,0,0,0,16
72970: ENG 102: FYC (2018 Fall),72360000000003800,11,0,3,1,8,8,0,0,0,5,9,0,0,0,0,0,0,22
Mo_Practice,72360000000007861,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvas Workshop - Bruce - 1,72360000000007415,16,0,30,1,30,30,0,6,47,0,71,0,0,0,0,0,0,0
LIA 101: Student Success in CLAS (2018 Fall),72360000000003915,20,0,12,1,31,31,0,12,22,11,25,0,0,0,0,2,0,19
ECD 593: Applied Project (Development - Online),72360000000003298,0,36,7,1,16,16,0,9,31,0,45,13,0,0,4,0,0,0
ECD 505: Foundations of Early Childhood Education (Development - Online),72360000000003308,0,54,9,1,19,19,0,9,33,0,88,6,3,30,4,0,0,0
Child Welfare Education Program,72360000000006532,0,0,0,2,0,0,0,0,4,0,8,0,0,0,0,0,0,8
SPA 325,72360000000007553,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEV-Fall-B-PH,72360000000004834,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASM 104: Bones, Stones ",72360000000002057,5,0,90,1,14,14,0,8,101,0,408,0,1,1,3,0,0,694
Dev-canvas-4-pkulinna,72360000000006740,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASU 101-CPP: The ASU Experience (2018 Fall),72360000000004210,19,0,0,1,34,34,0,1,8,21,15,0,0,0,3,0,0,19
MovementScience_Faculty - null,72360000000007050,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENS Graduate Applications,72360000000004985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEV ABS555,72360000000002637,1,0,0,1,0,0,0,0,9,0,61,0,0,0,0,0,0,0
ITA 494 Paris and Florence Spring 2019,72360000000007491,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGL 200 Development Shell Fall 2018 - null,72360000000004638,0,0,0,1,0,0,0,14,74,0,127,0,0,0,0,13,0,0
ENG 102: MWF 10:45 (2018 Fall),72360000000003252,10,28,5,1,15,15,0,12,20,5,5,23,1,10,0,0,0,24
SWG 533: Diversity/Oppression/Soc Work (2018 Fall),72360000000001829,3,7,1,1,4,4,0,4,57,1,39,21,0,0,0,0,0,20
SOS 598: Carbon Capture (2018 Fall),72360000000003789,0,0,0,1,0,0,0,0,2,0,49,0,0,0,0,0,0,3
ENG 101 Duerden Sandbox - null,72360000000007361,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Development Class,72360000000003842,0,0,11,1,0,0,0,3,41,0,10,0,0,0,0,0,0,0
HON 171: The Human Event (2018 Fall),72360000000004279,28,0,0,1,12,12,0,3,0,21,34,0,0,0,3,1,0,59
MIC 206: Microbiology Laboratory (2018 Fall),72360000000001561,7,3,0,3,33,33,0,6,30,0,62,5,10,36,0,0,0,78
"CRJ 305: Gender,Crime&Criminal Justice (2018 Fall - B)",72360000000005439,8,0,6,1,13,13,0,3,13,0,124,0,0,0,3,0,0,36
Dev-canvas-4-btdente,72360000000006781,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Mercedes Anderson's Sandbox,72360000000001751,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRM 364,72360000000001988,0,15,3,1,4,4,0,27,74,0,22,4,0,0,0,0,0,0
ACC 504: Basics of Managerial Acct (2018 Fall - B),72360000000006486,10,0,1,1,8,8,0,6,31,0,25,6,1,1,5,0,1,16
MGT 530: Influence and Negotiations (2019 Spring - DYN),72360000000007124,1,0,0,1,4,4,0,4,3,0,89,0,0,0,5,0,1,0
2018Fall_MAT142_Manley_77936_10:30 AM,72360000000003527,0,0,0,1,43,43,0,6,60,1,46,0,0,0,0,1,1,55
GBL 61: Intermed 1 Reading/Writing (2018 Fall - A),72360000000004104,34,0,0,1,45,45,0,2,0,7,13,0,0,0,0,0,0,12
FAS 361: Research Methods (2018 Summer - B),72360000000000878,13,0,4,1,19,19,0,4,312,4,120,0,5,17,3,0,1,41
DEV-WPC-ACC320-Dallmus,72360000000000707,1,0,8,1,37,37,0,9,47,0,77,0,0,0,4,1,0,0
COM 263: Elements Intercultural Comm (2018 Fall),72360000000002871,35,13,9,1,26,26,0,11,67,1,99,7,3,14,6,0,0,29
exw320-summera-canvas-43028,72360000000000873,0,0,1,1,29,29,0,12,75,0,83,0,17,91,7,0,0,0
Dev-canvas-4-mkrajdoc,72360000000007244,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEV - PRM 384 - MasterCourse,72360000000007801,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CHE 433 Dev- Modern Separations,72360000000005694,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAF 410: Building Leadership Skills (2018 Fall),72360000000003744,3,0,2,1,4,4,0,0,0,3,11,0,1,16,0,0,1,38
DEV - REL 501: Classical Theories of Religion - F2F,72360000000006426,0,0,1,1,3,3,0,0,4,0,5,0,0,0,0,0,0,0
DEV SOS 591 Select Topics in Ecological Modeling,72360000000005798,48,0,2,1,47,47,0,1,46,0,16,0,0,0,3,0,0,0
MIC 401: Research Paper (2019 Spring),72360000000006533,7,0,0,1,4,4,0,3,3,0,0,0,0,0,0,0,0,0
DEV EDT 321 - eBook Model,72360000000000566,19,7,14,1,47,47,0,25,289,0,14,9,1,1,0,0,0,0
TEM 330: Systems Innovation (2018 Fall - B),72360000000001729,10,100,8,1,25,25,0,6,26,6,58,21,1,10,3,0,1,42
SOS 394: Well-Being and Sustainability (2018 Fall),72360000000003402,4,0,0,1,0,0,0,11,1,0,31,0,0,0,0,0,0,6
REL207-Ritual-Symbol-Myth,72360000000004838,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL 799: Dissertation (2018 Fall C) - Henriksen,72360000000002727,0,0,5,1,2,2,0,3,7,0,51,0,0,0,16,0,0,6
TWC 484: Internship (2019 Spring - B),72360000000007149,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSE 598: Topics in Data Systems (2018 Fall - B),72360000000007381,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8
Abigail Smith's Dev Shell,72360000000000083,1,54,3,3,3,3,0,15,103,0,30,37,1,1,8,0,0,6
EED 521NewTemplateSpring2018 Instructional Planning for the Diverse Classroom,72360000000001968,0,1,2,1,0,0,0,26,109,0,4,1,0,0,0,0,0,0
CDE 591: Measurement in Social Sciences (2018 Fall),72360000000002507,20,0,1,1,26,25,1,15,27,0,55,0,0,0,0,0,0,7
DEV AFR 394 African Film,72360000000005339,2,0,17,1,45,45,0,11,55,0,45,0,0,0,2,0,0,0
JUS 105: Intro to Justice Studies (2019 Spring - A),72360000000007554,1,0,8,1,23,23,0,8,26,0,16,0,0,0,4,0,0,0
CRJ 419: Domestic Terrorism (2019 Spring),72360000000007513,2,0,5,1,14,14,0,8,24,0,72,0,0,0,3,0,1,0
SCM 516 Intro to Applied Analytics (DEVELOPMENT) - null,72360000000008130,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2018Fall_MAT142_Knutson_84292_,72360000000003549,5,0,0,1,44,44,0,6,59,16,61,0,0,0,0,1,2,80
ASU Supervisor HR 101 - null,72360000000004641,1,0,0,1,2,2,0,8,18,0,47,0,0,0,0,14,0,1
Biometry (2018 Fall),72360000000002491,19,0,0,5,18,18,0,17,36,16,78,4,4,46,0,0,2,75
ASU 101-CEE: The ASU Experience (2018 Fall - A),72360000000003598,0,0,1,1,19,19,0,11,63,103,110,2,2,8,0,28,2,33
TCL 327: Health and Migration (2018 Fall),72360000000004511,1,0,0,1,1,1,0,0,0,0,36,0,0,0,0,0,0,26
Dev-canvas-4-SMoldabe,72360000000005502,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018Fall_MAT142_Jones_77740_7:30 AM,72360000000003492,15,0,0,1,57,57,0,6,58,0,59,0,0,0,0,1,4,98
MKT 580: Full-Time MBA Action Learning Projects (2019 Spring - DYN),72360000000008025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLFTC Template for Online Courses (Development - Online),72360000000000836,0,0,3,1,3,3,0,2,22,0,2,0,0,0,4,0,0,0
Dev-canvas-4-amurcko,72360000000007643,0,0,1,1,3,3,0,1,2,0,0,3,1,1,0,0,0,0
SDO 598: Tort Law - Masters (2018 Fall),72360000000002131,4,0,11,1,29,29,0,16,41,2,75,0,0,0,14,0,0,13
FMP 261: Introduction to Screenwriting (2018 Fall),72360000000004624,3,0,0,1,11,11,0,0,0,7,0,0,0,0,0,0,0,22
MACC Writing Orientation Session,72360000000002745,3,0,0,1,1,1,0,0,12,81,52,0,0,0,5,0,4,96
LIA 101: Student Success in CLAS (2018 Fall),72360000000004006,9,0,12,1,31,31,0,12,22,17,25,0,0,0,0,2,0,19
History Toolkit,72360000000007575,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STS 331,72360000000006517,14,0,10,1,12,12,0,3,0,0,5,0,0,0,0,0,0,0
POS 160: Global Politics (2018 Fall - B),72360000000004984,12,8,18,1,26,26,0,6,59,0,52,8,0,0,3,0,1,141
PSB 593: Applied Project (2018 Fall),72360000000003908,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18
DEV-CRJ305-MasterCourse,72360000000002446,0,0,6,1,13,13,0,2,14,0,123,0,1,1,3,0,0,0
DEV-2019Spring-GER201-fweiss2,72360000000006124,35,0,16,1,45,45,0,8,96,0,307,0,0,0,4,0,0,0
SWU 413: Field Instruction Seminar (2018 Fall),72360000000001616,8,0,1,1,15,15,0,18,68,3,126,0,0,0,3,0,0,16
ECD 527: Mathematics in Early Childhood Education (Development - Online),72360000000003300,0,48,10,1,15,15,0,9,35,0,75,6,0,0,4,0,0,0
DEV for COM 394,72360000000007624,0,0,3,1,0,0,0,2,0,0,107,0,0,0,0,0,0,0
DEV-ASU10-Master-2018,72360000000000867,1,0,2,1,8,8,0,6,109,0,429,0,4,13,4,0,0,0
FIN 361 - ADV. Managerial Finance - Licon (2018 Summer B),72360000000001319,3,0,1,1,8,8,0,8,7,0,29,0,0,0,2,0,0,23
CIS 308: Advanced Excel in Business (2018 Fall - A) Dunton,72360000000002998,13,0,9,1,39,39,0,9,30,1,445,0,4,4,6,0,0,59
PHI 320: Bioethics (2018 Fall - B),72360000000002604,7,0,8,1,16,16,0,8,27,0,26,0,5,118,3,0,0,67
LIA 101: Student Success in CLAS (2018 Fall),72360000000003970,9,0,12,1,31,31,0,12,22,2,25,0,0,0,0,2,0,19
LIA 101: Student Success in CLAS (2018 Fall),72360000000004042,11,0,13,1,31,31,0,12,22,5,26,0,0,0,0,2,0,12
DEV-2018Fall-Master-MAT142-TLabThProb,72360000000003158,0,0,0,1,50,50,0,6,55,0,63,0,0,0,0,1,0,0
SOS 501 Foundations of Sustainability,72360000000000569,0,0,8,1,13,13,0,9,61,0,27,0,1,1,6,0,0,0
DEV NUR 436 (Spring 2019),72360000000007677,1,0,1,1,0,0,0,1,12,0,42,0,0,0,0,0,0,0
Richardson - Sandbox,72360000000006686,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEV-CRJ510-MasterCourse (Master),72360000000005497,1,0,5,1,26,26,0,11,24,0,69,0,0,0,3,0,0,0
DEV - PHI 101: Introduction to Philosophy - F2F,72360000000006409,0,0,1,1,3,3,0,0,4,0,5,0,0,0,0,0,0,0
SOS 394: From Cells to Societies (2019 Spring A Online - Anderies),72360000000006935,0,13,3,1,18,18,0,11,114,0,61,12,11,80,4,0,0,0
DCE 360: Third-Yr Creative Practices I (2018 Fall),72360000000003339,10,0,0,2,6,6,0,2,5,2,12,0,0,0,0,0,1,26
"SDO 598: U.S. Law & Legal Analysis - Masters (2018 Fall - A, 92873)",72360000000002124,17,0,10,1,39,39,0,11,36,22,57,0,12,59,7,0,1,28
AIS 394: Reservation Economic Dev (2019 Spring),72360000000008102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRN: Innovating in UTO,72360000000000631,0,0,8,1,8,8,0,6,7,0,4,0,2,4,0,1,0,51
MGT 791: Research Ethics (2018 Fall - DYN),72360000000006893,4,0,0,1,1,1,0,6,59,0,27,0,0,0,3,0,0,8
ACC 440: External Reporting II (2018 Fall),72360000000002686,15,0,50,1,7,7,0,11,56,0,119,0,0,0,6,0,0,57
MAT 210: Brief Calculus (2018 Fall),72360000000003228,5,0,0,1,15,15,0,4,21,0,34,0,0,0,0,0,1,80
Linda Herdan WPC Dev Site,72360000000000361,2,0,2,1,19,19,0,2,14,0,7,5,5,8,1,1,0,2
DEV-Labster-VR-Savvides,72360000000003678,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,38
intro canvas,72360000000006387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASU 101-NU: The ASU Experience (2018 Fall) Wash-White M 9:00a,72360000000003485,18,0,2,1,28,28,0,18,34,33,84,0,1,6,0,3,1,19
"Rhoden, UNI 110, T-Th 10:30am, F' 18",72360000000004142,4,0,7,1,10,10,0,9,1,9,24,0,0,0,0,11,0,17
Mexican_Estevez,72360000000001799,0,0,5,1,13,13,0,16,35,0,31,0,0,0,0,0,0,0
SOS 314: MASTER (Online),72360000000005491,2,0,8,1,13,13,0,11,42,0,31,0,0,0,4,0,0,0
Biomedical Faculty - null,72360000000007051,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON 343: Adv Hvy Equip Operations (2018 Fall),72360000000004805,2,0,0,1,3,3,0,0,0,0,14,0,0,0,0,0,0,5
SDO 598: Professional Writing and Communication (Fall B),72360000000002115,10,0,10,1,24,24,0,9,33,38,102,0,2,5,7,0,0,26
CIS 311: Business Project Management (2018 Fall - B),72360000000005176,9,13,8,1,21,21,0,9,27,2,48,8,0,0,8,2,1,39
"CRJ 306: Race, Ethnicity, Crime (2018 Fall - A)",72360000000003070,19,0,8,1,12,12,0,5,12,5,90,0,2,102,3,0,0,36
HSE 290: Exp Method Human Systems Rsrch (2018 Fall - B),72360000000005137,14,0,4,1,27,19,8,17,21,0,34,0,0,0,0,0,0,3
CanvasTraining,72360000000005531,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
ENG 210: Intro to Creative Writing (2018 Fall - A),72360000000001679,12,0,15,1,26,26,0,9,54,47,21,0,0,0,3,0,0,28
Debbie's Canvas Sandbox,72360000000001526,0,0,1,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0
JPN201,72360000000003580,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIS 236: Sopha Honors Information Systems (2018 Fall),72360000000004181,0,1,1,1,56,56,0,10,37,52,115,23,0,0,6,0,8,104
FSE 100: Introduction to Engineering (2018 Fall),72360000000002398,4,0,0,1,5,5,0,0,1,7,13,9,0,0,0,0,2,35
TAM 542: Leadership and Personal Devel (2019 Spring - B),72360000000007817,27,0,9,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0
ASU 11: Online Orientation -- 9/17-9/23/18 - 94644,72360000000005157,9,0,2,1,8,7,1,6,82,2,436,0,0,0,4,0,1,80
ENG 102: First-Year Composition (2019 Spring),72360000000006092,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN 540: EMBA Advanced Financial Management (2018 Fall - DYN),72360000000002399,0,0,0,1,11,11,0,6,8,0,55,0,0,0,5,14,3,32
Intermediate Spanish,72360000000007883,39,0,1,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0
ENG 101: First-Year Composition (2018 Fall),72360000000003628,35,0,9,1,33,33,0,5,9,8,26,0,0,0,0,0,0,22
Dev-canvas-4-ejennin5,72360000000008243,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amharawa Canvas Sandbox,72360000000007008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISS 304: Integrated Theories Social Sci (2019 Spring),72360000000006924,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEV - PHI 103: Principles of Sound Reasoning - online,72360000000005663,2,0,5,1,5,5,0,15,39,0,95,0,0,0,13,0,0,0
Rhoden UNI 110,72360000000003344,0,0,0,1,6,6,0,6,1,0,15,0,0,0,0,8,0,0
ECN 475: Capstone in Economics (2018 Fall),72360000000002772,9,2,0,1,11,11,0,11,45,4,50,13,0,0,1,0,0,31
CRD/NLM 494/598: International development: global perspective and local practices,72360000000000159,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
GSC 504: Understanding Conflict and War (2018 Fall - B),72360000000002594,8,37,8,1,18,18,0,6,82,1,89,6,0,0,3,0,0,36
LIA 101: Student Success in CLAS (2018 Fall),72360000000003938,13,0,12,1,31,31,0,12,22,7,25,0,0,0,0,2,0,19
COM 598: Communication in the Workplace (2019 Spring - A),72360000000007758,0,0,1,1,3,3,0,8,27,0,12,0,0,0,3,0,0,0
REL 201: Religion and the Modern World (2019 Spring),72360000000005995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cynthia's Sandbox (Demo Course),72360000000000421,1,0,2,1,4,4,0,0,104,0,17,27,0,0,0,0,0,2
ENG 200: Critical Reading ,72360000000002254,9,0,1,1,10,10,0,7,12,5,13,0,0,0,0,0,0,27
DEV-ANT 591,72360000000006601,15,0,0,1,0,0,0,9,28,0,56,0,0,0,0,0,0,0
Diana Latimore Sandbox,72360000000005950,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGT 501: Basics of Org Theory/Behavior (2018 Fall - DYN),72360000000002821,9,0,1,1,40,40,0,10,23,1,60,8,0,0,5,0,1,29
COM 225: Public Speaking (2018 Fall),72360000000002205,12,0,6,1,24,24,0,17,6,5,3957,0,4,326,0,2,0,17
DNP 626: Adult/Gero Common Prob Practic (2019 Spring),72360000000007391,1,0,5,1,19,19,0,1,12,0,42,0,0,0,0,0,0,0
ASU 101-NU: The ASU Experience (2018 Fall) Cromar M 4:35p,72360000000003510,8,0,3,1,27,27,0,19,32,41,65,0,1,5,0,12,1,19
Mon/Wed MTE 280: Invest Qnty: Number Operations (2018 Fall),72360000000001682,3,0,0,1,43,43,0,11,6,0,63,0,0,0,0,8,0,29
DEV-CRJ515-MasterCourse,72360000000002447,0,0,5,1,19,19,0,9,18,0,149,0,4,5,3,0,0,0
CED 672 (2014 Spring),72360000000004395,0,0,0,1,3,3,0,4,0,0,32,0,0,0,0,0,0,0
DCE 554: Teaching Praxis I (2018 Fall),72360000000002612,3,0,3,1,12,12,0,6,7,10,5,0,0,0,0,0,0,5
FMP 261: Introduction to Screenwriting (2018 Fall),72360000000004872,0,0,0,1,8,8,0,0,0,0,1,0,0,0,0,0,0,20
Social Work Academic Associate Training and Resource Center,72360000000005553,0,0,0,1,2,2,0,6,32,0,46,0,1,23,3,0,0,0
HST 330: Historical Thinking (2018 Fall - B),72360000000002258,11,70,8,1,18,18,0,10,62,0,100,11,0,0,3,0,0,27
"GSC 501: War, Conflict and Security (2019 Spring - A)",72360000000006099,16,28,1,1,14,14,0,8,64,0,84,5,0,0,4,0,0,0
DEV-2019Spring-HCD410,72360000000007301,8,2,11,1,11,11,0,24,63,0,58,3,0,0,4,0,0,0
COM 308: Adv Research Methods in Comm (2019 Summer - B),72360000000008412,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEV - HST 302: History of Olympic Movement - Online,72360000000008063,2,0,5,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0
ITA 312 Composition Spring 2019,72360000000007486,0,0,5,1,17,17,0,0,0,0,0,0,0,0,0,0,0,0
ENG 352: Short Story (2018 Fall - B) - 75948,72360000000006411,9,0,15,1,24,24,0,14,94,0,38,0,0,0,3,0,0,28
MGT 591: Mnging Sustanblity Comp Advntg (2019 Spring - DYN),72360000000007418,1,0,3,1,2,2,0,3,26,0,41,0,0,0,5,13,0,0
PHI 101: Introduction to Philosophy (2018 Fall),72360000000003608,17,0,1,1,6,6,0,0,0,0,53,0,3,24,0,0,2,211
Dev-JCinco-Sandbox,72360000000003865,0,0,0,1,1,1,0,1,7,0,0,0,0,0,0,0,0,0
Dev-canvas-4-cjohnst1,72360000000005774,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ENG 102: First-Year Composition (2019 Spring),72360000000007298,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0
LIA 101: Student Success in CLAS (2018 Fall),72360000000003923,12,0,12,1,31,31,0,12,22,17,26,0,0,0,0,2,0,23
ACC 410: Fin Statement Analysis (2019 Spring - A),72360000000007175,3,0,1,1,22,22,0,8,29,0,20,0,0,0,6,0,0,0
GBL 63: Inter 1 Comm (2018 Fall - A),72360000000004339,5,0,0,1,15,15,0,0,0,2,0,0,0,0,0,0,0,15
"Tucker, B. - UNI 120: Academic Success (2018 Fall - A)",72360000000003247,5,0,0,1,21,21,0,9,22,2,5,0,1,10,0,0,0,17
CRJ 535: Mental Illness & Crime ,72360000000006694,19,0,10,1,11,11,0,8,28,0,87,0,2,6,3,0,2,28
Ryan's Johnson Sandbox,72360000000002173,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EMS 506 Global Context II,72360000000000713,0,5,8,1,17,17,0,9,77,0,41,9,1,1,6,0,0,0
FSE 100: Introduction to Engineering (2018 Fall),72360000000002808,4,0,1,1,31,31,0,16,61,53,82,11,0,0,0,1,2,42
BCH 463: Biophysical Chemistry (2018 Fall - B),72360000000002006,26,0,11,1,35,35,0,5,107,8,390,0,18,229,3,0,2,66
Dev-canvas-4-cwschwar,72360000000007089,0,0,0,1,0,0,0,0,61,0,0,0,0,0,0,0,0,0
Admissions Dev Template (Dev),72360000000005179,0,0,0,1,0,0,0,3,3,0,1,0,0,0,0,0,0,0
ENG 302 Session C,72360000000005082,32,0,17,1,40,40,0,9,9,0,1,0,0,0,0,0,0,0
TMC 330 Canvas test,72360000000005597,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WAC 107 (Dev),72360000000003120,0,0,0,1,0,0,0,5,10,0,2,0,0,0,0,0,0,0
LIA 101: Student Success in CLAS (2018 Fall),72360000000004033,11,0,11,1,30,30,0,12,22,7,26,0,0,0,0,2,0,24
WPC Online MBA Cohort A! - null,72360000000006131,14,0,1,1,8,8,0,0,49,0,765,0,0,0,1,0,0,0
DEV - HCR/HCI 484: Internship,72360000000004399,3,0,2,1,17,17,0,15,16,0,0,0,0,0,0,0,0,0
UTOtraining,72360000000005895,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-4C Collective,72360000000005709,0,0,8,1,0,0,0,2,5,0,1,0,0,0,0,0,0,0
ASU 11: Online Orientation - 9/3-9/9/18 -- 80908,72360000000004750,7,0,2,1,8,7,1,6,80,1,436,0,0,0,4,0,1,66
DEV - REL 107-SGS 107: Religion and Globalization - F2F,72360000000006429,0,0,1,1,3,3,0,0,4,0,5,0,0,0,0,0,0,0
Intro to Somatics (DEV),72360000000003053,0,0,17,1,3,3,0,21,23,0,29,0,1,1,0,0,1,0
JosetMenendez's Dev Shell,72360000000000073,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRA 121: Principles Graphic Design I (2018 Fall),72360000000003905,8,0,0,1,1,1,0,0,0,0,6,0,0,0,0,0,0,16
ENG 107: First-Year Composition (2018 Fall),72360000000004166,17,0,7,1,6,6,0,1,0,2,15,0,0,0,0,0,0,19
MAT 272: Calc w/Analytic Geometry III (2018 Fall),72360000000003172,15,0,0,1,23,23,0,1,1,0,3,0,0,0,0,1,2,48
Trans4,72360000000005792,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS 231: Master (Ground),72360000000006128,4,0,4,1,17,17,0,10,41,0,31,0,0,0,9,0,0,0
TADSandbox (DEV),72360000000002353,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWG 501: Micro Human Behav Soc Environ (2018 Fall),72360000000003223,3,0,1,1,19,19,0,8,0,19,16,15,0,0,0,1,0,18
