coursename,courseid,accouncementcount,groupdiscussioncount,individualdiscussioncount,sectioncount,assignmentcount,gradedassignmentcount,nongradedassignmentcount,modulecount,wikipagecount,assignmentattachmentcount,courseattachmentcount,groupcount,quizcount,quizquestioncount,externaltoolcount,moduleurlcount,tacount,studentcount
SOC/FAS 484: Internship (2019 Spring),72360000000005479,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL 212: Understand/Culturally Diverse (2018 Fall),72360000000002634,24,0,0,1,22,21,1,10,0,84,76,0,0,0,0,1,0,69
Ashley's Testing Course,72360000000004121,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASU Memorial Union & Student Pavilion Training,72360000000007863,0,0,0,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0
ENG 464: Great Directors (2019 Spring - A),72360000000006961,13,0,5,1,7,7,0,8,226,0,59,0,0,0,0,0,0,0
Dev-canvas-4-mlattouf,72360000000007322,0,0,0,1,2,2,0,1,11,0,0,0,1,2,0,0,0,0
ENG 101: First-Year Composition (2018 Fall),72360000000002894,13,0,0,1,29,29,0,5,8,61,4,0,0,0,0,5,0,21
MAT 119: Finite Mathematics (2019 Spring - A),72360000000007136,10,0,2,1,33,33,0,6,61,0,123,0,0,0,3,0,0,0
MAE 529: Continuum Mechanics (2018 Fall),72360000000004060,25,4,0,1,1,1,0,0,0,0,22,17,0,0,0,0,0,21
ENG 102: MWF 11:50 (2018 Fall),72360000000003251,8,24,6,1,19,19,0,12,18,0,11,12,1,1,0,0,0,20
TCL 305: Transborder Practicum (2018 Fall),72360000000004506,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,8
BCH 461: General Biochemistry (2018 Fall - A),72360000000002870,94,0,10,1,60,58,2,11,171,33,318,0,16,219,3,0,2,59
Canvas: Math and Science,72360000000005290,1,0,4,2,12,12,0,1,6,0,10,0,0,0,0,0,0,3
DCI 691 (2017 Fall) Intro to Measurement,72360000000007519,8,0,1,1,33,33,0,7,13,0,82,0,0,0,0,0,0,0
NTR 150: Intro/Prof/Nutrition/Dietetics (2019 Fall),72360000000007592,4,0,0,1,21,21,0,6,19,0,28,0,0,0,4,0,0,0
NTR 345: Development of Healthy Cuisine (2019 Spring),72360000000008415,18,0,12,1,45,45,0,0,0,0,0,0,0,0,0,0,0,0
POS 150: Comparative Government (2019 Spring),72360000000006926,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHM 233: General Organic Chemistry I (2019 Spring),72360000000008110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
